iter	Passed	Remaining
0	1	1507
1	3	1888
2	5	1911
3	7	1951
4	9	1961
5	11	1956
6	13	1975
7	15	1964
8	17	1961
9	19	1950
10	21	1955
11	23	1968
12	26	1977
13	28	1988
14	30	1982
15	32	1976
16	34	1966
17	36	1967
18	37	1960
19	40	1966
20	42	1976
21	44	1974
22	46	1968
23	48	1971
24	50	1967
25	52	1962
26	54	1960
27	56	1959
28	58	1952
29	60	1947
30	62	1944
31	64	1939
32	66	1935
33	67	1931
34	70	1930
35	71	1927
36	74	1928
37	76	1927
38	78	1923
39	79	1918
40	81	1916
41	83	1912
42	85	1909
43	87	1904
44	89	1904
45	91	1900
46	93	1897
47	95	1897
48	97	1897
49	99	1893
50	101	1894
51	103	1891
52	105	1887
53	107	1883
54	109	1882
55	111	1880
56	113	1879
57	115	1879
58	117	1876
59	119	1872
60	121	1874
61	123	1870
62	125	1869
63	128	1873
64	131	1886
65	134	1899
66	136	1903
67	139	1906
68	141	1915
69	144	1919
70	146	1922
71	150	1939
72	152	1938
73	154	1938
74	156	1935
75	158	1929
76	161	1936
77	163	1936
78	165	1934
79	168	1935
80	170	1932
81	172	1926
82	174	1928
83	176	1921
84	178	1919
85	180	1915
86	182	1911
87	183	1905
88	185	1899
89	187	1893
90	189	1888
91	190	1882
92	192	1876
93	194	1875
94	196	1872
95	198	1867
96	200	1863
97	201	1859
98	203	1854
99	205	1853
100	208	1852
101	209	1847
102	211	1841
103	213	1835
104	214	1830
105	216	1825
106	218	1821
107	219	1816
108	221	1811
109	223	1806
110	224	1801
111	226	1796
112	228	1791
113	229	1786
114	231	1781
115	233	1779
116	235	1776
117	237	1772
118	238	1768
119	240	1765
120	242	1761
121	244	1757
122	246	1755
123	248	1752
124	249	1748
125	251	1744
126	253	1740
127	254	1736
128	256	1732
129	258	1729
130	260	1725
131	262	1723
132	263	1719
133	265	1716
134	267	1713
135	269	1710
136	270	1706
137	272	1703
138	274	1701
139	276	1699
140	278	1696
141	280	1691
142	282	1690
143	284	1688
144	286	1687
145	288	1685
146	290	1684
147	292	1682
148	294	1679
149	296	1678
150	297	1674
151	299	1670
152	301	1668
153	303	1665
154	304	1662
155	306	1659
156	308	1657
157	310	1654
158	312	1651
159	314	1648
160	315	1645
161	317	1642
162	319	1638
163	321	1636
164	322	1632
165	324	1629
166	326	1627
167	327	1624
168	329	1621
169	331	1618
170	333	1615
171	334	1612
172	336	1609
173	338	1606
174	340	1603
175	341	1601
176	343	1598
177	345	1595
178	347	1592
179	348	1589
180	350	1586
181	352	1583
182	354	1581
183	355	1578
184	357	1575
185	359	1572
186	361	1570
187	362	1567
188	364	1564
189	366	1562
190	368	1559
191	369	1556
192	371	1553
193	373	1551
194	375	1548
195	376	1544
196	378	1541
197	380	1540
198	381	1537
199	383	1534
200	385	1531
201	387	1531
202	389	1529
203	391	1526
204	392	1523
205	395	1522
206	396	1520
207	398	1518
208	400	1516
209	402	1514
210	404	1511
211	406	1511
212	408	1508
213	410	1506
214	411	1503
215	413	1501
216	415	1498
217	417	1495
218	419	1494
219	420	1491
220	422	1488
221	424	1487
222	426	1485
223	428	1484
224	430	1481
225	431	1479
226	433	1477
227	435	1474
228	437	1471
229	438	1469
230	440	1467
231	442	1464
232	444	1461
233	445	1459
234	447	1457
235	449	1454
236	451	1452
237	453	1450
238	454	1448
239	456	1445
240	458	1444
241	460	1442
242	462	1440
243	464	1437
244	465	1435
245	467	1433
246	469	1430
247	471	1428
248	472	1425
249	474	1423
250	476	1421
251	477	1418
252	479	1416
253	481	1414
254	483	1411
255	484	1409
256	486	1407
257	488	1404
258	490	1402
259	491	1400
260	493	1398
261	495	1395
262	497	1393
263	499	1391
264	500	1388
265	502	1386
266	504	1383
267	505	1381
268	507	1379
269	509	1377
270	511	1375
271	512	1372
272	514	1370
273	516	1368
274	518	1365
275	519	1363
276	521	1361
277	523	1359
278	525	1356
279	526	1354
280	528	1352
281	530	1350
282	532	1348
283	533	1346
284	535	1343
285	537	1341
286	538	1338
287	540	1336
288	542	1334
289	543	1331
290	545	1329
291	547	1327
292	549	1325
293	550	1322
294	552	1320
295	554	1318
296	556	1316
297	557	1314
298	559	1311
299	561	1309
300	563	1308
301	565	1306
302	567	1304
303	568	1302
304	570	1300
305	572	1298
306	574	1296
307	576	1294
308	578	1292
309	580	1291
310	581	1289
311	583	1286
312	585	1284
313	587	1282
314	588	1280
315	590	1278
316	592	1277
317	594	1275
318	596	1273
319	598	1271
320	600	1269
321	601	1267
322	603	1265
323	605	1264
324	607	1262
325	609	1260
326	611	1258
327	613	1256
328	615	1254
329	616	1252
330	618	1249
331	620	1248
332	622	1246
333	623	1244
334	625	1242
335	627	1240
336	629	1237
337	631	1235
338	632	1234
339	634	1232
340	636	1230
341	638	1227
342	639	1225
343	641	1223
344	643	1221
345	645	1219
346	646	1217
347	648	1215
348	650	1213
349	652	1211
350	653	1209
351	655	1206
352	657	1204
353	658	1202
354	660	1200
355	662	1198
356	664	1196
357	665	1194
358	667	1191
359	669	1189
360	671	1188
361	673	1186
362	674	1184
363	676	1182
364	678	1180
365	680	1178
366	681	1175
367	683	1173
368	685	1171
369	686	1169
370	688	1167
371	690	1165
372	692	1163
373	693	1161
374	695	1159
375	697	1157
376	699	1155
377	701	1153
378	702	1151
379	704	1149
380	706	1147
381	708	1145
382	709	1143
383	711	1141
384	713	1139
385	714	1137
386	716	1135
387	718	1133
388	720	1131
389	721	1129
390	723	1127
391	725	1125
392	727	1123
393	728	1121
394	730	1119
395	732	1117
396	734	1115
397	735	1113
398	737	1111
399	739	1109
400	741	1107
401	742	1104
402	744	1102
403	746	1100
404	748	1098
405	749	1096
406	751	1094
407	753	1092
408	754	1090
409	756	1088
410	758	1086
411	759	1084
412	761	1082
413	763	1080
